Author1,Author2,Weight
Carlos D.,Gandhi,1
Carlos D.,Rodríguez-Gallegos,1
Carlos D.,Oktoviano,1
Gandhi,Rodríguez-Gallegos,1
Gandhi,Oktoviano,1
Rodríguez-Gallegos,Oktoviano,1
Kenan,Gençol,1
Girgis,Nayel,1
Girgis,Aziz,1
Girgis,Christina,1
Girgis,Hany,1
Girgis,Mohamed,1
Nayel,Aziz,1
Nayel,Christina,1
Nayel,Hany,1
Nayel,Mohamed,1
Aziz,Christina,1
Aziz,Hany,1
Aziz,Mohamed,1
Christina,Hany,1
Christina,Mohamed,1
Hany,Mohamed,1
E.S.,Karapidakis,1
H.,M.,1
H.,M.R.,1
H.,Iravani,1
H.,Karimi,1
H.,Karimi-Ghartemani,1
M.,M.R.,1
M.,Iravani,1
M.,Karimi,1
M.,Karimi-Ghartemani,1
M.R.,Iravani,1
M.R.,Karimi,1
M.R.,Karimi-Ghartemani,1
Iravani,Karimi,1
Iravani,Karimi-Ghartemani,1
Karimi,Karimi-Ghartemani,1
Marcelo S.,M.,1
Marcelo S.,Diego,1
Marcelo S.,Fernando,1
Marcelo S.,Sigmar,1
Marcelo S.,P.,1
Marcelo S.,Coln,1
Marcelo S.,De Padua,1
M.,Diego,1
M.,Fernando,1
M.,Sigmar,1
M.,P.,1
M.,Coln,1
M.,De Padua,1
Diego,Fernando,1
Diego,Sigmar,1
Diego,P.,1
Diego,Coln,1
Diego,De Padua,1
Fernando,Sigmar,1
Fernando,P.,1
Fernando,Coln,1
Fernando,De Padua,1
Sigmar,P.,1
Sigmar,Coln,1
Sigmar,De Padua,1
P.,Coln,1
P.,De Padua,1
Coln,De Padua,1
A.,Pradhan,2
A.,Basak,1
A.,A.K.,2
A.,Routray,2
Pradhan,Basak,1
Pradhan,A.K.,2
Pradhan,Routray,2
Basak,A.K.,1
Basak,Routray,1
A.K.,Routray,2
Kezunovic,Mladen,2
Kezunovic,Qian,1
Kezunovic,Cheng,1
Mladen,Qian,1
Mladen,Cheng,1
Qian,Cheng,1
Pedro M.,Cruz Serra,1
Pedro M.,A.,1
Pedro M.,Ramos,1
Pedro M.,Tomas,1
Pedro M.,Radil,1
Cruz Serra,A.,1
Cruz Serra,Ramos,1
Cruz Serra,Tomas,1
Cruz Serra,Radil,1
A.,Ramos,1
A.,Tomas,1
A.,Radil,1
Ramos,Tomas,1
Ramos,Radil,1
Tomas,Radil,1
Kezunovic,Ren,1
Kezunovic,Jinfeng,1
Ren,Mladen,1
Ren,Jinfeng,1
Mladen,Jinfeng,1
Jeremy,Soh,1
Jeremy,Wu,1
Jeremy,Xiaofeng,1
Soh,Wu,1
Soh,Xiaofeng,1
Wu,Xiaofeng,1
W.,J.,1
W.,Rebizant,1
W.,Szafran,1
J.,Rebizant,1
J.,Szafran,1
Rebizant,Szafran,1
Jinlei,Longhua,1
Jinlei,Mu,1
Jinlei,Xing,1
Longhua,Mu,1
Longhua,Xing,1
Mu,Xing,1
Qing-Long,Ge,1
Qing-Long,Xiaohua,1
Qing-Long,Derui,1
Qing-Long,Han,1
Qing-Long,Wang,1
Qing-Long,Ding,1
Qing-Long,Zidong,1
Ge,Xiaohua,1
Ge,Derui,1
Ge,Han,1
Ge,Wang,1
Ge,Ding,1
Ge,Zidong,1
Xiaohua,Derui,1
Xiaohua,Han,1
Xiaohua,Wang,1
Xiaohua,Ding,1
Xiaohua,Zidong,1
Derui,Han,1
Derui,Wang,1
Derui,Ding,1
Derui,Zidong,1
Han,Wang,1
